0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,URL
,,,,,,,,,,,,,,,,,https://www.sports-reference.com/cfb/players/jared-lorenzen-1.html
Kentucky,SEC,FR,QB,11,76,140,1.8,5,76,140,1.8,5,,,,,https://www.sports-reference.com/cfb/players/jared-lorenzen-1.html
Kentucky,SEC,SO,QB,8,54,119,2.2,2,1,-13,-13.0,0,55,106,1.9,2,https://www.sports-reference.com/cfb/players/jared-lorenzen-1.html
Kentucky,SEC,JR,QB,12,60,-51,-0.9,0,60,-51,-0.9,0,,,,,https://www.sports-reference.com/cfb/players/jared-lorenzen-1.html
Kentucky,SEC,SR,QB,12,89,75,0.8,5,1,-11,-11.0,0,90,64,0.7,5,https://www.sports-reference.com/cfb/players/jared-lorenzen-1.html
Kentucky,279,283,1.0,12,2,-24,-12.0,0,281,259,0.9,12,,,,,https://www.sports-reference.com/cfb/players/jared-lorenzen-1.html
,,,,,,,,,,,,,,,,,https://www.sports-reference.com/cfb/players/jp-losman-1.html
,,,,,,,,,,,,,,,,,https://www.sports-reference.com/cfb/players/jp-losman-1.html
Tulane,CUSA,FR,QB,10,59,133,2.3,1,1,14,14.0,0,60,147,2.5,1,https://www.sports-reference.com/cfb/players/jp-losman-1.html
Tulane,CUSA,SO,QB,3,13,9,0.7,1,13,9,0.7,1,,,,,https://www.sports-reference.com/cfb/players/jp-losman-1.html
Tulane,CUSA,JR,QB,13,88,19,0.2,6,88,19,0.2,6,,,,,https://www.sports-reference.com/cfb/players/jp-losman-1.html
Tulane,CUSA,SR,QB,12,77,80,1.0,2,77,80,1.0,2,,,,,https://www.sports-reference.com/cfb/players/jp-losman-1.html
Tulane,237,241,1.0,10,1,14,14.0,0,238,255,1.1,10,,,,,https://www.sports-reference.com/cfb/players/jp-losman-1.html
,,,,,,,,,,,,,,,,,https://www.sports-reference.com/cfb/players/eli-manning-1.html
,,,,,,,,,,,,,,,,,https://www.sports-reference.com/cfb/players/eli-manning-1.html
Ole Miss,SEC,FR,QB,6,7,4,0.6,0,7,4,0.6,0,,,,,https://www.sports-reference.com/cfb/players/eli-manning-1.html
Ole Miss,SEC,SO,QB,11,34,9,0.3,0,34,9,0.3,0,,,,,https://www.sports-reference.com/cfb/players/eli-manning-1.html
Ole Miss,SEC,JR,QB,13,39,-120,-3.1,2,1,-6,-6.0,0,40,-126,-3.2,2,https://www.sports-reference.com/cfb/players/eli-manning-1.html
Ole Miss,SEC,SR,QB,13,48,-28,-0.6,3,48,-28,-0.6,3,,,,,https://www.sports-reference.com/cfb/players/eli-manning-1.html
Ole Miss,128,-135,-1.1,5,1,-6,-6.0,0,129,-141,-1.1,5,,,,,https://www.sports-reference.com/cfb/players/eli-manning-1.html
,,,,,,,,,,,,,,,,,https://www.sports-reference.com/cfb/players/matt-mauck-1.html
,,,,,,,,,,,,,,,,,https://www.sports-reference.com/cfb/players/matt-mauck-1.html
LSU,SEC,FR,QB,3,20,73,3.7,2,20,73,3.7,2,,,,,https://www.sports-reference.com/cfb/players/matt-mauck-1.html
LSU,SEC,SO,QB,6,50,175,3.5,2,50,175,3.5,2,,,,,https://www.sports-reference.com/cfb/players/matt-mauck-1.html
LSU,SEC,JR,QB,14,79,97,1.2,1,79,97,1.2,1,,,,,https://www.sports-reference.com/cfb/players/matt-mauck-1.html
LSU,149,345,2.3,5,149,345,2.3,5,,,,,,,,,https://www.sports-reference.com/cfb/players/matt-mauck-1.html
,,,,,,,,,,,,,,,,,https://www.sports-reference.com/cfb/players/luke-mccown-1.html
,,,,,,,,,,,,,,,,,https://www.sports-reference.com/cfb/players/luke-mccown-1.html
Louisiana Tech,Ind,FR,QB,8,55,-29,-0.5,3,55,-29,-0.5,3,,,,,https://www.sports-reference.com/cfb/players/luke-mccown-1.html
Louisiana Tech,WAC,SO,QB,11,87,144,1.7,4,87,144,1.7,4,,,,,https://www.sports-reference.com/cfb/players/luke-mccown-1.html
Louisiana Tech,WAC,JR,QB,12,61,30,0.5,2,61,30,0.5,2,,,,,https://www.sports-reference.com/cfb/players/luke-mccown-1.html
Louisiana Tech,WAC,SR,QB,12,71,-80,-1.1,1,1,-1,-1.0,0,72,-81,-1.1,1,https://www.sports-reference.com/cfb/players/luke-mccown-1.html
