Player,Season,Age,Team,G,GS,AV,Pos
Josh Huff,2014,23,PHI,12,0,2,WR
Jacoby Jones,2014,30,BAL,16,0,2,WR
Brandon Lloyd,2014,33,SFO,14,3,2,WR
Ricardo Lockette,2014,28,SEA,16,0,2,WR
Dexter McCluster,2014,25,TEN,14,2,2,WR
Lance Moore,2014,31,PIT,14,2,2,WR
Brandon Tate,2014,27,CIN,16,4,2,WR
Kenbrell Thompkins,2014,26,"NWE,OAK",14,7,2,WR
Nick Toon,2014,26,NOR,8,2,2,WR
Brenton Bersin,2014,24,CAR,15,1,1,WR
Justin Brown,2014,23,PIT,8,1,1,WR
Mike Brown,2014,25,JAX,5,1,1,WR
Vincent Brown,2014,25,OAK,7,0,1,WR
Michael Campanaro,2014,23,BAL,4,0,1,WR
Bruce Ellington,2014,23,SFO,13,0,1,WR
Chris Givens,2014,25,STL,14,0,1,WR
T.J. Graham,2014,25,NYJ,12,0,1,WR
Dwayne Harris,2014,27,DAL,16,0,1,WR
Junior Hemingway,2014,26,KAN,14,1,1,WR
Santonio Holmes,2014,30,CHI,9,2,1,WR
Dontrelle Inman,2014,25,SDG,7,0,1,WR
A.J. Jenkins,2014,25,KAN,9,2,1,WR
Greg Little,2014,25,CIN,6,1,1,WR
Keshawn Martin,2014,24,HOU,16,0,1,WR
Rishard Matthews,2014,25,MIA,14,0,1,WR
Robert Meachem,2014,30,NOR,11,2,1,WR
Denarius Moore,2014,26,OAK,10,2,1,WR
Josh Morgan,2014,29,CHI,14,7,1,WR
Joe Morgan,2014,26,NOR,5,2,1,WR
Santana Moss,2014,35,WAS,10,0,1,WR
Kevin Norwood,2014,25,SEA,9,2,1,WR
Chris Owusu,2014,24,"NYJ,TAM",8,0,1,WR
Austin Pettis,2014,26,STL,5,0,1,WR
Greg Salas,2014,26,NYJ,10,2,1,WR
Dane Sanzenbacher,2014,26,CIN,10,1,1,WR
Rod Streater,2014,26,OAK,3,3,1,WR
Adam Thielen,2014,24,MIN,16,2,1,WR
Brian Tyms,2014,25,NWE,11,2,1,WR
Bryan Walters,2014,27,SEA,13,0,1,WR
Eric Weems,2014,29,ATL,16,0,1,WR
Chris Williams,2014,27,CHI,7,0,1,WR
Mike Williams,2014,27,BUF,9,0,1,WR
Marquess Wilson,2014,22,CHI,7,6,1,WR
James Wright,2014,23,CIN,11,0,1,WR
Seyi Ajirotutu,2014,27,SDG,16,1,0,WR
Dri Archer,2014,23,PIT,12,0,0,WR
David Ausberry,2014,27,OAK,6,0,0,WR
Phil Bates,2014,25,SEA,1,0,0,WR
Josh Bellamy,2014,25,CHI,4,0,0,WR
Josh Boyce,2014,23,NWE,1,0,0,WR
Jarrett Boykin,2014,25,GNB,13,3,0,WR
Ryan Broyles,2014,26,DET,5,0,0,WR
Isaiah Burse,2014,23,DEN,12,0,0,WR
LaRon Byrd,2014,25,CLE,1,0,0,WR
Andre Caldwell,2014,29,DEN,16,2,0,WR
Josh Cribbs,2014,31,IND,6,0,0,WR
Drew Davis,2014,25,ATL,6,0,0,WR
Aaron Dobson,2014,23,NWE,4,1,0,WR
Kevin Dorsey,2014,24,GNB,3,0,0,WR
Kris Durham,2014,26,TEN,4,0,0,WR
Marcus Easley,2014,27,BUF,10,0,0,WR
Quincy Enunwa,2014,22,NYJ,1,0,0,WR
Marquise Goodwin,2014,24,BUF,10,0,0,WR
Ryan Grant,2014,24,WAS,16,2,0,WR
Frankie Hammond,2014,24,KAN,16,3,0,WR
Leonard Hankerson,2014,25,WAS,1,0,0,WR
Robert Herron,2014,22,TAM,8,0,0,WR
Darrius Heyward-Bey,2014,27,PIT,16,1,0,WR
Trindon Holliday,2014,28,"SFO,TAM",2,0,0,WR
Jeff Janis,2014,23,GNB,3,0,0,WR
Jerrel Jernigan,2014,25,NYG,2,1,0,WR
Tavarres King,2014,24,TAM,2,0,0,WR
Cody Latimer,2014,22,DEN,8,0,0,WR
Elbert Mack,2014,28,HOU,8,0,0,WR
Jeff Maehl,2014,25,PHI,8,0,0,WR
Marc Mariani,2014,27,CHI,6,0,0,WR
Freddie Martino,2014,23,ATL,1,0,0,WR
Chris Matthews,2014,25,SEA,3,0,0,WR
Marlon Moore,2014,27,CLE,13,0,0,WR
David Nelson,2014,28,NYJ,6,5,0,WR
Kevin Ogletree,2014,27,NYG,7,0,0,WR
Kassim Osgood,2014,34,SFO,13,0,0,WR
Quinton Patton,2014,24,SFO,4,0,0,WR
Solomon Patton,2014,24,TAM,7,0,0,WR
DeVier Posey,2014,24,HOU,1,1,0,WR
Walt Powell,2014,23,NYJ,4,0,0,WR
Rico Richardson,2014,23,TEN,1,0,0,WR
Aldrick Robinson,2014,26,WAS,5,0,0,WR
Gerell Robinson,2014,25,"CLE,MIA",3,0,0,WR
Courtney Roby,2014,31,ATL,4,0,0,WR
Rashad Ross,2014,24,CHI,2,0,0,WR
Ace Sanders,2014,23,JAX,12,0,0,WR
Antonio Brown,2015,27,PIT,16,16,17,WR
Julio Jones,2015,26,ATL,16,16,16,WR
Odell Beckham Jr.,2015,23,NYG,15,15,13,WR
A.J. Green,2015,27,CIN,16,16,13,WR
Brandon Marshall,2015,31,NYJ,16,16,13,WR
Doug Baldwin,2015,27,SEA,16,16,11,WR
Larry Fitzgerald,2015,32,ARI,16,16,11,WR
DeAndre Hopkins,2015,23,HOU,16,16,11,WR
Jeremy Maclin,2015,27,KAN,15,15,11,WR
Allen Robinson,2015,22,JAX,16,16,11,WR
John Brown,2015,25,ARI,15,11,10,WR
Mike Evans,2015,22,TAM,15,14,10,WR
Calvin Johnson,2015,30,DET,16,16,10,WR
Sammy Watkins,2015,22,BUF,13,13,10,WR
Brandin Cooks,2015,22,NOR,16,12,9,WR
Amari Cooper,2015,21,OAK,16,15,9,WR
Eric Decker,2015,28,NYJ,15,13,9,WR
Ted Ginn Jr.,2015,30,CAR,15,13,9,WR
Marvin Jones,2015,25,CIN,16,13,9,WR
Jarvis Landry,2015,23,MIA,16,14,9,WR
Tyler Lockett,2015,23,SEA,16,8,9,WR
Demaryius Thomas,2015,28,DEN,16,16,9,WR
Randall Cobb,2015,25,GNB,16,15,8,WR
Michael Crabtree,2015,28,OAK,16,15,8,WR
Stefon Diggs,2015,22,MIN,13,9,8,WR
Michael Floyd,2015,26,ARI,15,6,8,WR
T.Y. Hilton,2015,26,IND,16,15,8,WR
Allen Hurns,2015,24,JAX,15,15,8,WR
James Jones,2015,31,GNB,16,15,8,WR
Emmanuel Sanders,2015,28,DEN,15,15,8,WR
Willie Snead,2015,23,NOR,15,8,8,WR
Danny Amendola,2015,30,NWE,14,7,7,WR
Tavon Austin,2015,25,STL,16,15,7,WR
Travis Benjamin,2015,26,CLE,16,15,7,WR
Martavis Bryant,2015,24,PIT,11,5,7,WR
Julian Edelman,2015,29,NWE,9,9,7,WR
Jermaine Kearse,2015,25,SEA,16,16,7,WR
Jordan Matthews,2015,23,PHI,16,12,7,WR
Rueben Randle,2015,24,NYG,16,16,7,WR
Golden Tate,2015,27,DET,16,16,7,WR
Kamar Aiken,2015,26,BAL,16,14,6,WR
Jerricho Cotchery,2015,33,CAR,14,3,6,WR
Pierre Garcon,2015,29,WAS,16,16,6,WR
Dwayne Harris,2015,28,NYG,15,6,6,WR
Alshon Jeffery,2015,25,CHI,9,8,6,WR
Donte Moncrief,2015,22,IND,16,10,6,WR
Markus Wheaton,2015,24,PIT,16,8,6,WR
Keenan Allen,2015,23,SDG,8,8,5,WR
Anquan Boldin,2015,35,SFO,14,13,5,WR
Kenny Britt,2015,27,STL,16,14,5,WR
Corey Brown,2015,24,CAR,14,11,5,WR
Jamison Crowder,2015,22,WAS,16,6,5,WR
Devin Funchess,2015,21,CAR,16,5,5,WR
Vincent Jackson,2015,32,TAM,10,9,5,WR
Brandon LaFell,2015,29,NWE,11,7,5,WR
Mohamed Sanu,2015,26,CIN,16,4,5,WR
Mike Wallace,2015,29,MIN,16,12,5,WR
Nate Washington,2015,32,HOU,14,14,5,WR
Terrance Williams,2015,26,DAL,16,13,5,WR
Albert Wilson,2015,23,KAN,14,12,5,WR
Robert Woods,2015,23,BUF,14,9,5,WR
Jarius Wright,2015,26,MIN,16,3,5,WR
Davante Adams,2015,23,GNB,13,12,4,WR
Brandon Coleman,2015,23,NOR,16,4,4,WR
Marques Colston,2015,32,NOR,13,5,4,WR
Malcom Floyd,2015,34,SDG,15,13,4,WR
Dorial Green-Beckham,2015,22,TEN,16,5,4,WR
Chris Hogan,2015,28,BUF,16,4,4,WR
DeSean Jackson,2015,29,WAS,9,9,4,WR
Andre Johnson,2015,34,IND,16,14,4,WR
Rishard Matthews,2015,26,MIA,11,11,4,WR
Seth Roberts,2015,24,OAK,16,5,4,WR
Cecil Shorts,2015,28,HOU,11,4,4,WR
Steve Smith Sr.,2015,36,BAL,7,7,4,WR
Torrey Smith,2015,26,SFO,16,12,4,WR
Roddy White,2015,34,ATL,16,16,4,WR
Marquess Wilson,2015,23,CHI,11,6,4,WR
Cole Beasley,2015,26,DAL,16,3,3,WR
Harry Douglas,2015,31,TEN,14,12,3,WR
Quincy Enunwa,2015,23,NYJ,12,6,3,WR
Leonard Hankerson,2015,26,"ATL,BUF,NWE",10,0,3,WR
Brian Hartline,2015,29,CLE,12,4,3,WR
Darrius Heyward-Bey,2015,28,PIT,16,4,3,WR
Dontrelle Inman,2015,26,SDG,14,7,3,WR
Steve Johnson,2015,29,SDG,10,8,3,WR
Keshawn Martin,2015,25,NWE,9,8,3,WR
Dexter McCluster,2015,26,TEN,11,2,3,WR
Lance Moore,2015,32,DET,14,8,3,WR
JJ Nelson,2015,23,ARI,11,2,3,WR
DeVante Parker,2015,22,MIA,14,4,3,WR
Denard Robinson,2015,25,JAX,13,3,3,WR
Kenny Stills,2015,23,MIA,16,8,3,WR
Bryan Walters,2015,28,JAX,11,1,3,WR
Kendall Wright,2015,26,TEN,10,9,3,WR
Nelson Agholor,2015,22,PHI,13,12,2,WR
Josh Bellamy,2015,26,CHI,16,3,2,WR
Dez Bryant,2015,27,DAL,9,9,2,WR
Brice Butler,2015,25,DAL,7,2,2,WR
Jeremy Butler,2015,24,BAL,8,0,2,WR
Chris Conley,2015,23,KAN,16,5,2,WR
Riley Cooper,2015,28,PHI,16,13,2,WR
Phillip Dorsett,2015,22,IND,11,0,2,WR
Chris Givens,2015,26,"STL,BAL",15,6,2,WR
Ryan Grant,2015,25,WAS,16,5,2,WR
Rashad Greene,2015,23,JAX,9,0,2,WR
Justin Hardy,2015,24,ATL,9,1,2,WR
Percy Harvin,2015,27,BUF,5,5,2,WR
Andrew Hawkins,2015,29,CLE,8,8,2,WR
Andre Holmes,2015,27,OAK,16,1,2,WR
Josh Huff,2015,24,PHI,15,4,2,WR
Adam Humphries,2015,22,TAM,13,0,2,WR
Justin Hunter,2015,24,TEN,9,5,2,WR
Marqise Lee,2015,24,JAX,10,1,2,WR
Marc Mariani,2015,28,CHI,16,5,2,WR
Chris Matthews,2015,26,"BAL,SEA",13,0,2,WR
Louis Murphy,2015,28,TAM,6,1,2,WR
Cordarrelle Patterson,2015,24,MIN,16,1,2,WR
Quinton Patton,2015,25,SFO,16,4,2,WR
Andre Roberts,2015,27,WAS,9,0,2,WR
Rashad Ross,2015,25,WAS,13,0,2,WR
Eddie Royal,2015,29,CHI,9,9,2,WR
Adam Thielen,2015,25,MIN,16,2,2,WR
Griff Whalen,2015,25,IND,14,0,2,WR
Jared Abbrederis,2015,25,GNB,10,0,1,WR
Miles Austin,2015,31,PHI,11,1,1,WR
Jason Avant,2015,32,KAN,16,1,1,WR
Stedman Bailey,2015,25,STL,8,3,1,WR
Brenton Bersin,2015,25,CAR,9,2,1,WR
Jaron Brown,2015,25,ARI,16,0,1,WR
Marlon Brown,2015,24,BAL,10,2,1,WR
Kaelin Clay,2015,23,BAL,7,0,1,WR
Mike Davis,2015,22,SFO,6,0,1,WR
Aaron Dobson,2015,24,NWE,8,3,1,WR
Donteea Dye,2015,22,TAM,10,5,1,WR
Marcus Easley,2015,28,BUF,13,0,1,WR
Bruce Ellington,2015,24,SFO,13,0,1,WR
Bennie Fowler,2015,24,DEN,16,1,1,WR
Corey Fuller,2015,25,DET,12,0,1,WR
Taylor Gabriel,2015,24,CLE,13,4,1,WR
Javontee Herndon,2015,24,SDG,8,2,1,WR
Jeff Janis,2015,24,GNB,16,0,1,WR
Darius Jennings,2015,23,CLE,4,1,1,WR
Greg Jennings,2015,32,MIA,16,5,1,WR
Charles Johnson,2015,26,MIN,11,4,1,WR
T.J. Jones,2015,23,DET,10,0,1,WR
Jeremy Kerley,2015,27,NYJ,16,1,1,WR
Tony Lippett,2015,23,MIA,9,0,1,WR
Ricardo Lockette,2015,29,SEA,8,0,1,WR
Bradley Marquez,2015,23,STL,16,1,1,WR
Cameron Meredith,2015,23,CHI,11,0,1,WR
Ty Montgomery,2015,22,GNB,6,3,1,WR
Keith Mumphery,2015,23,HOU,16,3,1,WR
Jordan Norwood,2015,29,DEN,11,5,1,WR
Chris Owusu,2015,25,NYJ,3,2,1,WR
Brian Quick,2015,26,STL,13,2,1,WR
Jeremy Ross,2015,27,"OAK,BAL",11,0,1,WR
Devin Smith,2015,23,NYJ,10,3,1,WR
Devin Street,2015,24,DAL,15,2,1,WR
Jaelen Strong,2015,21,HOU,10,1,1,WR
Brandon Tate,2015,28,CIN,16,0,1,WR
Deonte Thompson,2015,26,CHI,7,0,1,WR
Kenbrell Thompkins,2015,27,NYJ,7,2,1,WR
Wes Welker,2015,34,STL,8,0,1,WR
Lucky Whitehead,2015,23,DAL,15,1,1,WR
Myles White,2015,25,NYG,12,0,1,WR
Nick Williams,2015,25,ATL,14,0,1,WR
Tyrell Williams,2015,23,SDG,7,0,1,WR
Seyi Ajirotutu,2015,28,PHI,13,0,0,WR
Mario Alford,2015,23,CIN,1,0,0,WR
Dri Archer,2015,24,PIT,8,0,0,WR
Dwayne Bowe,2015,31,CLE,7,0,0,WR
Quan Bray,2015,22,IND,9,0,0,WR
Daniel Brown,2015,23,BAL,6,1,0,WR
Vincent Brown,2015,26,SDG,1,0,0,WR
Andre Caldwell,2015,30,DEN,14,0,0,WR
Michael Campanaro,2015,24,BAL,4,0,0,WR
Sammie Coates,2015,22,PIT,6,0,0,WR
Geremy Davis,2015,23,NYG,10,0,0,WR
Ben Edwards,2015,23,NYG,2,0,0,WR
Brittan Golden,2015,27,ARI,14,0,0,WR
Marquise Goodwin,2015,25,BUF,2,0,0,WR
T.J. Graham,2015,26,NOR,4,1,0,WR
Rannell Hall,2015,22,CLE,1,0,0,WR
Frankie Hammond,2015,25,KAN,9,0,0,WR
Chris Harper,2015,22,NWE,5,0,0,WR
Matt Hazel,2015,23,MIA,5,1,0,WR
Damaris Johnson,2015,26,NWE,1,0,0,WR
Jacoby Jones,2015,31,"PIT,SDG",9,0,0,WR
Seantavius Jones,2015,23,NOR,3,0,0,WR
Jonathan Krause,2015,23,PHI,2,0,0,WR
Cody Latimer,2015,23,DEN,14,1,0,WR
Dezmin Lewis,2015,23,BUF,1,0,0,WR
Vince Mayle,2015,24,DAL,1,0,0,WR
Tre McBride,2015,23,TEN,7,0,0,WR
Denarius Moore,2015,27,BUF,6,0,0,WR
Marlon Moore,2015,28,CLE,14,2,0,WR
Joe Morgan,2015,27,NOR,2,1,0,WR
Hakeem Nicks,2015,27,NYG,6,2,0,WR
Kevin Norwood,2015,26,CAR,1,0,0,WR
Preston Parker,2015,28,NYG,2,1,0,WR
Julio Jones,2016,27,ATL,14,14,16,WR
T.Y. Hilton,2016,27,IND,16,16,14,WR
Antonio Brown,2016,28,PIT,15,15,12,WR
Jordy Nelson,2016,31,GNB,16,16,12,WR
Brandin Cooks,2016,23,NOR,16,12,11,WR
Julian Edelman,2016,30,NWE,16,13,11,WR
Davante Adams,2016,24,GNB,16,15,10,WR
Doug Baldwin,2016,28,SEA,16,15,10,WR
Odell Beckham Jr.,2016,24,NYG,16,16,10,WR
Amari Cooper,2016,22,OAK,16,14,10,WR
Mike Evans,2016,23,TAM,16,16,10,WR
Tyreek Hill,2016,22,KAN,16,1,10,WR
Jarvis Landry,2016,24,MIA,16,16,10,WR
Michael Thomas,2016,23,NOR,15,12,10,WR
Larry Fitzgerald,2016,33,ARI,16,16,9,WR
Pierre Garcon,2016,30,WAS,16,16,9,WR
Golden Tate,2016,28,DET,16,16,9,WR
Tyrell Williams,2016,24,SDG,16,12,9,WR
Cole Beasley,2016,27,DAL,16,6,8,WR
Dez Bryant,2016,28,DAL,13,13,8,WR
Michael Crabtree,2016,29,OAK,16,16,8,WR
Jamison Crowder,2016,23,WAS,16,9,8,WR
DeSean Jackson,2016,30,WAS,15,15,8,WR
Marvin Jones,2016,26,DET,15,15,8,WR
Rishard Matthews,2016,27,TEN,16,9,8,WR
Emmanuel Sanders,2016,29,DEN,16,16,8,WR
Willie Snead,2016,24,NOR,15,4,8,WR
Adam Thielen,2016,26,MIN,16,10,8,WR
Demaryius Thomas,2016,29,DEN,16,16,8,WR
Kelvin Benjamin,2016,25,CAR,16,13,7,WR
Stefon Diggs,2016,23,MIN,13,11,7,WR
Taylor Gabriel,2016,25,ATL,13,3,7,WR
Ted Ginn Jr.,2016,31,CAR,16,8,7,WR
A.J. Green,2016,28,CIN,10,10,7,WR
Chris Hogan,2016,29,NWE,15,14,7,WR
DeAndre Hopkins,2016,24,HOU,16,16,7,WR
Dontrelle Inman,2016,27,SDG,16,16,7,WR
Marqise Lee,2016,25,JAX,16,6,7,WR
Jordan Matthews,2016,24,PHI,14,13,7,WR
Mohamed Sanu,2016,27,ATL,15,15,7,WR
Mike Wallace,2016,30,BAL,16,16,7,WR
Travis Benjamin,2016,27,SDG,14,8,6,WR
Kenny Britt,2016,28,LAR,15,15,6,WR
Randall Cobb,2016,26,GNB,13,10,6,WR
Quincy Enunwa,2016,24,NYJ,16,13,6,WR
Will Fuller,2016,22,HOU,14,13,6,WR
Brandon LaFell,2016,30,CIN,16,14,6,WR
Tyler Lockett,2016,24,SEA,15,9,6,WR
Cameron Meredith,2016,24,CHI,14,10,6,WR
DeVante Parker,2016,23,MIA,15,8,6,WR
Terrelle Pryor,2016,27,CLE,16,15,6,WR
Allen Robinson,2016,23,JAX,16,16,6,WR
Eli Rogers,2016,24,PIT,13,8,6,WR
Kenny Stills,2016,24,MIA,16,16,6,WR
Terrance Williams,2016,27,DAL,16,15,6,WR
Robert Woods,2016,24,BUF,13,10,6,WR
Anquan Boldin,2016,36,DET,16,16,5,WR
Tyler Boyd,2016,22,CIN,16,2,5,WR
Chris Conley,2016,24,KAN,16,11,5,WR
Phillip Dorsett,2016,23,IND,15,7,5,WR
Adam Humphries,2016,23,TAM,15,4,5,WR
Alshon Jeffery,2016,26,CHI,12,12,5,WR
Jeremy Kerley,2016,28,SFO,16,13,5,WR
Jeremy Maclin,2016,28,KAN,12,12,5,WR
Brandon Marshall,2016,32,NYJ,15,15,5,WR
JJ Nelson,2016,24,ARI,15,6,5,WR
Cordarrelle Patterson,2016,25,MIN,16,8,5,WR
Tajae Sharpe,2016,22,TEN,16,10,5,WR
Sterling Shepard,2016,23,NYG,16,16,5,WR
Steve Smith Sr.,2016,37,BAL,14,14,5,WR
Chosen Anderson,2016,23,NYJ,16,8,4,WR
Tavon Austin,2016,26,LAR,15,15,4,WR
John Brown,2016,26,ARI,15,6,4,WR
Sammie Coates,2016,23,PIT,14,5,4,WR
Victor Cruz,2016,30,NYG,15,12,4,WR
Michael Floyd,2016,27,"ARI,NWE",15,8,4,WR
Marquise Goodwin,2016,26,BUF,15,9,4,WR
Jermaine Kearse,2016,26,SEA,16,15,4,WR
Malcolm Mitchell,2016,24,NWE,14,6,4,WR
Andre Roberts,2016,28,DET,16,1,4,WR
Aldrick Robinson,2016,28,ATL,16,1,4,WR
Sammy Watkins,2016,23,BUF,8,8,4,WR
Kendall Wright,2016,27,TEN,11,4,4,WR
Nelson Agholor,2016,23,PHI,15,14,3,WR
Corey Coleman,2016,22,CLE,10,10,3,WR
Devin Funchess,2016,22,CAR,15,7,3,WR
Dorial Green-Beckham,2016,23,PHI,15,7,3,WR
Allen Hurns,2016,25,JAX,11,11,3,WR
Vance McDonald,2016,26,SFO,11,11,3,WR
Donte Moncrief,2016,23,IND,9,7,3,WR
Quinton Patton,2016,26,SFO,14,14,3,WR
Breshad Perriman,2016,23,BAL,16,1,3,WR
Brian Quick,2016,27,LAR,16,8,3,WR
Seth Roberts,2016,25,OAK,16,6,3,WR
Chester Rogers,2016,22,IND,14,2,3,WR
Eddie Royal,2016,30,CHI,9,1,3,WR
Russell Shepard,2016,26,TAM,14,4,3,WR
Albert Wilson,2016,24,KAN,16,5,3,WR
Kamar Aiken,2016,27,BAL,16,6,2,WR
Geronimo Allison,2016,22,GNB,10,2,2,WR
Danny Amendola,2016,31,NWE,12,4,2,WR
Josh Bellamy,2016,27,CHI,16,2,2,WR
Jaron Brown,2016,26,ARI,7,2,2,WR
Corey Brown,2016,25,CAR,16,8,2,WR
Brice Butler,2016,26,DAL,16,3,2,WR
Brandon Coleman,2016,24,NOR,16,4,2,WR
Cody Core,2016,22,CIN,8,4,2,WR
Harry Douglas,2016,32,TEN,11,2,2,WR
Cobi Hamilton,2016,26,PIT,11,8,2,WR
Justin Hardy,2016,25,ATL,16,3,2,WR
Andrew Hawkins,2016,30,CLE,16,5,2,WR
Josh Huff,2016,25,"PHI,TAM",10,2,2,WR
Justin Hunter,2016,25,"BUF,MIA",13,5,2,WR
Charles Johnson,2016,27,MIN,16,7,2,WR
Jordan Norwood,2016,30,DEN,14,6,2,WR
Paul Richardson,2016,24,SEA,15,0,2,WR
Torrey Smith,2016,27,SFO,12,12,2,WR
Brandon Tate,2016,29,BUF,15,1,2,WR
Jordan Taylor,2016,24,DEN,16,0,2,WR
Deonte Thompson,2016,27,CHI,16,6,2,WR
Bryan Walters,2016,29,JAX,10,3,2,WR
Keenan Allen,2016,24,SDG,1,1,1,WR
Arrelious Benn,2016,28,JAX,15,0,1,WR
Daniel Brown,2016,24,"CHI,BAL",8,3,1,WR
Aaron Burbridge,2016,23,SFO,16,3,1,WR
Pharoh Cooper,2016,21,LAR,10,3,1,WR
Eric Decker,2016,29,NYJ,3,3,1,WR
Josh Doctson,2016,24,WAS,2,0,1,WR
Alex Erickson,2016,24,CIN,16,0,1,WR
Bennie Fowler,2016,25,DEN,13,0,1,WR
Brittan Golden,2016,28,ARI,12,1,1,WR
Jakeem Grant,2016,24,MIA,16,0,1,WR
Ryan Grant,2016,26,WAS,16,1,1,WR
Chris Harper,2016,23,SFO,9,2,1,WR
Demetrius Harris,2016,25,KAN,16,11,1,WR
Maurice Harris,2016,24,WAS,10,0,1,WR
Darrius Heyward-Bey,2016,29,PIT,10,0,1,WR
Andre Holmes,2016,28,OAK,16,2,1,WR
Johnny Holton,2016,26,OAK,15,0,1,WR
Vincent Jackson,2016,33,TAM,5,5,1,WR
Jeff Janis,2016,25,GNB,16,1,1,WR
Andre Johnson,2016,35,TEN,8,4,1,WR
T.J. Jones,2016,24,DET,3,0,1,WR
Cody Latimer,2016,24,DEN,12,1,1,WR
Roger Lewis,2016,23,NYG,13,1,1,WR
Tommylee Lewis,2016,24,NOR,12,1,1,WR
Ricardo Louis,2016,22,CLE,16,3,1,WR
Jalin Marshall,2016,21,NYJ,10,1,1,WR
Freddie Martino,2016,25,TAM,13,0,1,WR
Braxton Miller,2016,24,HOU,10,6,1,WR
Keith Mumphery,2016,24,HOU,11,3,1,WR
Charone Peake,2016,24,NYJ,15,1,1,WR
Walt Powell,2016,25,BUF,9,2,1,WR
Marcel Reece,2016,31,SEA,4,0,1,WR
Denard Robinson,2016,26,JAX,13,1,1,WR
Greg Salas,2016,28,BUF,2,1,1,WR
Cecil Shorts,2016,29,TAM,9,5,1,WR
Neal Sterling,2016,24,JAX,10,1,1,WR
Rod Streater,2016,28,SFO,16,2,1,WR
Jaelen Strong,2016,22,HOU,8,2,1,WR
Bryce Treggs,2016,22,PHI,9,1,1,WR
Paul Turner,2016,23,PHI,4,2,1,WR
Darren Waller,2016,24,BAL,12,3,1,WR
Kevin White,2016,24,CHI,4,4,1,WR
Lucky Whitehead,2016,24,DAL,15,1,1,WR
Nick Williams,2016,26,ATL,2,0,1,WR
Wendall Williams,2016,26,HOU,3,0,1,WR
Marquess Wilson,2016,24,CHI,3,1,1,WR
Jarius Wright,2016,27,MIN,8,1,1,WR
James Wright,2016,25,CIN,13,2,1,WR
Jared Abbrederis,2016,26,GNB,5,0,0,WR
Bralon Addison,2016,23,CHI,2,0,0,WR
Mario Alford,2016,24,CLE,3,0,0,WR
Demarcus Ayers,2016,22,PIT,2,1,0,WR
Brenton Bersin,2016,26,CAR,10,0,0,WR
Daniel Braverman,2016,23,CHI,3,0,0,WR
Quan Bray,2016,23,IND,6,0,0,WR
Isaiah Burse,2016,25,SDG,9,1,0,WR
Jeremy Butler,2016,25,SDG,4,0,0,WR
Damiere Byrd,2016,23,CAR,1,0,0,WR
Michael Campanaro,2016,25,BAL,3,0,0,WR
Leonte Carroo,2016,22,MIA,14,2,0,WR
Geremy Davis,2016,24,SDG,3,0,0,WR
Mike Davis,2016,23,SFO,8,1,0,WR
Trevor Davis,2016,23,GNB,11,0,0,WR
Donteea Dye,2016,23,TAM,1,0,0,WR
George Farmer,2016,23,SEA,2,0,0,WR
D.J. Foster,2016,23,NWE,3,0,0,WR
Isaac Fruechte,2016,25,MIN,1,0,0,WR
Rashad Greene,2016,24,JAX,8,0,0,WR
Dwayne Harris,2016,29,NYG,16,1,0,WR
Percy Harvin,2016,28,BUF,2,1,0,WR
Rashard Higgins,2016,22,CLE,16,0,0,WR
Tavarres King,2016,26,NYG,7,0,0,WR
Jake Lampman,2016,23,NOR,6,0,0,WR
Dezmin Lewis,2016,24,BUF,1,0,0,WR
Marc Mariani,2016,29,TEN,16,0,0,WR
Bradley Marquez,2016,24,LAR,14,0,0,WR
Keshawn Martin,2016,26,SFO,1,0,0,WR
Vince Mayle,2016,25,DAL,6,0,0,WR
Antonio Brown,2017,29,PIT,14,14,14,WR
Julio Jones,2017,28,ATL,16,16,14,WR
Michael Thomas,2017,24,NOR,16,14,14,WR
Brandin Cooks,2017,24,NWE,16,15,13,WR
Tyreek Hill,2017,23,KAN,15,13,13,WR
Adam Thielen,2017,27,MIN,16,16,13,WR
Keenan Allen,2017,25,LAC,16,15,11,WR
A.J. Green,2017,29,CIN,16,16,10,WR
DeAndre Hopkins,2017,25,HOU,15,15,10,WR
Marvin Jones,2017,27,DET,16,16,10,WR
JuJu Smith-Schuster,2017,21,PIT,14,7,10,WR
Stefon Diggs,2017,24,MIN,14,14,9,WR
Ted Ginn Jr.,2017,32,NOR,15,10,9,WR
Cooper Kupp,2017,24,LAR,15,6,9,WR
Golden Tate,2017,29,DET,16,12,9,WR
Davante Adams,2017,25,GNB,14,14,8,WR
Danny Amendola,2017,32,NWE,15,8,8,WR
Chosen Anderson,2017,24,NYJ,16,15,8,WR
Doug Baldwin,2017,29,SEA,16,16,8,WR
Dez Bryant,2017,29,DAL,16,16,8,WR
Mike Evans,2017,24,TAM,15,15,8,WR
Larry Fitzgerald,2017,34,ARI,16,16,8,WR
Devin Funchess,2017,23,CAR,16,16,8,WR
Marquise Goodwin,2017,27,SFO,16,16,8,WR
T.Y. Hilton,2017,28,IND,16,16,8,WR
Robert Woods,2017,25,LAR,12,11,8,WR
Nelson Agholor,2017,24,PHI,16,10,7,WR
Alshon Jeffery,2017,27,PHI,16,16,7,WR
Jarvis Landry,2017,25,MIA,16,16,7,WR
Rishard Matthews,2017,28,TEN,14,11,7,WR
Mohamed Sanu,2017,28,ATL,15,15,7,WR
Demaryius Thomas,2017,30,DEN,16,16,7,WR
Mike Wallace,2017,31,BAL,15,14,7,WR
