Player,Season,Age,Team,G,GS,AV,Pos
Brandon Lloyd,2006,25,WAS,15,12,3,WR
Brandon Marshall,2006,22,DEN,15,1,3,WR
Ruvell Martin,2006,24,GNB,13,3,3,WR
Justin McCareins,2006,28,NYJ,16,7,3,WR
Randy Moss,2006,29,OAK,13,13,3,WR
Troy Williamson,2006,23,MIN,14,11,3,WR
Josh Cribbs,2006,23,CLE,16,1,2,WR
Jabar Gaffney,2006,26,NWE,11,6,2,WR
Bryan Gilmore,2006,28,SFO,16,3,2,WR
Derek Hagan,2006,22,MIA,16,0,2,WR
Ike Hilliard,2006,30,TAM,16,0,2,WR
Chad Jackson,2006,21,NWE,12,1,2,WR
David Kircus,2006,26,DEN,16,0,2,WR
Billy McMullen,2006,26,MIN,16,0,2,WR
Dennis Northcutt,2006,29,CLE,13,6,2,WR
Marcus Robinson,2006,31,MIN,10,3,2,WR
David Tyree,2006,26,NYG,16,1,2,WR
Kevin Walter,2006,25,HOU,16,2,2,WR
Troy Walters,2006,30,ARI,15,3,2,WR
Alvis Whitted,2006,32,OAK,14,13,2,WR
Jason Avant,2006,23,PHI,8,3,1,WR
Corey Bradford,2006,31,DET,9,2,1,WR
Tim Dwight,2006,31,NYJ,9,2,1,WR
Justin Gage,2006,25,CHI,8,0,1,WR
David Givens,2006,26,TEN,5,5,1,WR
Az-Zahir Hakim,2006,29,DET,6,0,1,WR
Cortez Hankton,2006,25,JAX,12,1,1,WR
Carlyle Holiday,2006,25,"ARI,GNB",8,2,1,WR
Sam Hurd,2006,21,DAL,15,2,1,WR
Michael Jennings,2006,27,NYG,8,0,1,WR
Bethel Johnson,2006,27,MIN,11,2,1,WR
Jamal Jones,2006,25,NOR,12,1,1,WR
John Madsen,2006,23,OAK,15,1,1,WR
Shaun McDonald,2006,25,STL,16,0,1,WR
Aaron Moorehead,2006,26,IND,12,0,1,WR
Tab Perry,2006,24,CIN,2,0,1,WR
Koren Robinson,2006,26,GNB,4,0,1,WR
