"","player","forty","vertical","broad_jump","three_cone","shuttle"
"339","kaleb eleby",4.98008842487931,25.5,111,7.57,4.55260718507236
"340","sam howell",NA,NA,NA,NA,NA
"341","d'eriq king",NA,NA,NA,NA,NA
"342","kenny pickett",4.73,33.5,121,7.012717124529,4.29
"343","brock purdy",4.84,27,106.617589129722,7.21,4.45
"344","desmond ridder",4.52,36,127,7.15,4.29
"345","carson strong",NA,NA,NA,NA,NA
"346","skylar thompson",4.91,31,112,7,4.28
"347","malik willis",NA,NA,NA,NA,NA
"348","bailey zappe",4.88,30,109,7.19,4.4
