"","player","height","weight","forty","vertical","broad_jump","three_cone","shuttle","G","Cmp","Att","Pct","Yds","YPA","AYPA","TD","Int","Rate","RushAtt","RushYds","RushAvg","RushTD","ConfIndicator"
"165","landry jones",76,225,5.11,31,115,7.12,4.3,13,367,555,66.1,4267,7.7,7.9,30,11,144.6,14,-110,-7.9,0,"1"
"166","collin klein",77,226,4.78,29,111,7.17,4.4,13,197,304,64.8,2641,8.7,8.4,16,9,149.2,207,920,4.4,23,"1"
"167","e j  manuel",77,237,4.65,34,118,7.08,4.21,14,263,387,68,3397,8.8,8.8,23,10,156.1,103,310,3,4,"1"
"168","ryan nassib",74,227,5.06,28.5,105,7.34,4.53,12,259,415,62.4,2685,6.5,6.6,22,9,129.9,65,39,0.6,2,"0"
"169","sean renfree",75,219,4.76,29.9681176654903,109.819869525238,7.19978180077277,4.40150695513328,12,297,441,67.3,3113,7.1,6.9,19,10,136.3,38,-50,-1.3,1,"1"
"170","matt scott",74,213,4.69,31,118,6.69,3.99,12,301,499,60.3,3620,7.3,7.1,27,14,133.5,113,506,4.5,6,"1"
"171","geno smith",74,218,4.58,33.5,124,7.11300040432453,4.32973021478189,13,369,518,71.2,4205,8.1,9.2,42,6,163.9,66,151,2.3,2,"1"
"172","tyler wilson",74,215,4.95,28.5,112,7.22,4.39,11,249,401,62.1,3387,8.4,8,21,13,143.8,41,7,0.2,0,"1"
"173","blake bortles",77,232,4.93,32.5,115,7.08,4.21,13,259,382,67.8,3581,9.4,9.6,25,9,163.4,87,272,3.1,6,"0"
"174","tajh boyd",73,222,4.84,30.5,106,7.33,4.23,13,283,413,68.5,3851,9.3,9.8,34,11,168.7,154,400,2.6,10,"1"
"175","teddy bridgewater",74,214,4.80324114492837,30,113,7.17,4.2,13,303,427,71,3970,9.3,10.3,31,4,171.1,63,78,1.2,1,"0"
"176","derek carr",74,214,4.69,34.5,110,7.11806452928395,4.2,13,454,659,68.9,5083,7.7,8.7,50,8,156.3,40,117,2.9,2,"0"
